Img_N,Experiment,Img_Nuclei_N,Cell_Type,Treatment,Replicate,Well,Cell_N,Un_Cell_Id,Nu_X,Nu_Y,Cell_Act_Cl,Cell_Orientation,Cell_Area,Cell_Perim,Cell_MaxL,Cell_MinL,WLR,Cell_Neighbour_N,Cell_1st_Nb_Dist,Cell_2nd_Nb_Dist,Nu_Clustering,Nu_1st_Nb_Dist,Nu_2nd_Nb_Dist,Nu_Area,DNA_IntI_Norm,Cell_Cycle,Cell_VEC_Norm,Junc_VEC_Norm,JCyR,J_N,Perc_Stb,Perc_Lin,Perc_Jag,STB_Index,Cy_NCH_IntI,Nu_NCH_IntI,tSNE_1,tSNE_2,NOTCH_Quadr,Nu_NOTCH_Fraction,Tot_NCH
842,D2R1,80,HAoEC,CTRL,1,B002,1,842_1,269.5489039,13.36846543,Quiescent,33.51868371,4650,487.654,107.2130927,67.99409617,0.634195829,2,59.43207544,93.3883047,1,47.67729603,125.7722333,1186,687.1490126,G0/G1,0.225351383,0.375084084,1.664441012,24,0,29.16666667,70.83333333,-56.25,7.223224208,0,1.961288357,24.59299667,Low,0,7.223224208
842,D2R1,80,HAoEC,CTRL,1,B002,2,842_2,58.1773309,17.26051188,Dividing,6.100615836,4127,361.884,106.4850506,56.30213723,0.528732784,2,64.26668833,104.4788887,0,56.23973896,123.59587,1094,642.8511636,LM,0.26504203,0.276420428,1.042930542,21,9.523809524,23.80952381,66.66666667,-45.23809524,5.682063043,0,-22.61509705,-8.764203164,Low,0,5.682063043
842,D2R1,80,HAoEC,CTRL,1,B002,3,842_3,522.7221649,23.49484536,Activated,24.70165722,7922,443.852,109.1040215,101.5826168,0.931062077,4,107.7269503,131.7515148,0,112.1747658,140.0884247,1940,1022.828991,G0/G1,0.332615847,0.382770831,1.150789519,29,6.896551724,10.34482759,82.75862069,-70.68965517,39.82613862,0,-24.79766452,6.690991703,Low,0,39.82613862
842,D2R1,80,HAoEC,CTRL,1,B002,4,842_4,11.17332474,48.13981959,Quiescent,47.15444604,7056,503.412,145.2433546,70.69233057,0.486716454,4,64.26668833,105.4808653,0,56.23973896,110.9380336,1552,703.762827,G0/G1,0.168794198,0.229421186,1.359176961,26,3.846153846,23.07692308,73.07692308,-57.69230769,0,0,-22.80262264,-9.137517099,None,0,0
842,D2R1,80,HAoEC,CTRL,1,B002,5,842_5,836.3190057,49.52641119,Quiescent,1.906870418,23988,923.78,205.5521742,165.5068184,0.80518155,6,152.2675378,159.3601855,0,165.2176482,169.8901409,3862,1969.774017,G2/M,0.299380924,0.331909367,1.108652358,57,8.771929825,0,91.22807018,-82.45614035,115.2684368,59.83662164,-20.94877195,17.13286116,Cytoplasmic,0.341718407,175.1050584
842,D2R1,80,HAoEC,CTRL,1,B002,6,842_6,632.0634869,48.54785691,Stressed,1.339804707,20784,827.226,198.7710597,137.2498878,0.690492308,4,120.3873636,139.4038805,0,112.1747658,152.0304811,3103,2059.662801,G2/M,0.295772213,0.282627041,0.955556434,53,0,16.98113208,83.01886792,-74.52830189,7.999893159,10.68030822,-20.90954971,10.02649822,Low,0.571744812,18.68020138
842,D2R1,80,HAoEC,CTRL,1,B002,7,842_7,239.9603064,50.75348189,Activated,51.15430918,6455,382.03,145.1235517,58.06482067,0.400106116,4,59.43207544,83.97241915,1,47.67729603,84.94506688,1436,997.0762586,G0/G1,0.309980421,0.334650538,1.079586049,22,0,22.72727273,77.27272727,-65.90909091,4.302250743,0,9.442132424,23.2647259,Low,0,4.302250743
842,D2R1,80,HAoEC,CTRL,1,B002,8,842_8,387.0243746,58.29249519,Stressed,-34.7168628,10814,774.812,176.2198788,86.23480551,0.489359124,6,93.3883047,96.84865884,0,101.2777065,125.7722333,1559,1052.99666,G0/G1,0.299197139,0.279678099,0.934761941,39,5.128205128,25.64102564,69.23076923,-51.28205128,95.14276323,0,-21.0219277,-3.593181114,Low,0,95.14276323
842,D2R1,80,HAoEC,CTRL,1,B002,9,842_9,1022.840252,78.45786164,Quiescent,27.69216772,11429,517.278,154.8111276,99.20991835,0.640844879,3,64.11281044,81.77582042,0,78.73682268,156.8471147,1590,659.0087204,G0/G1,0.161073386,0.249953457,1.551798614,25,4,8,88,-80,0,0,-22.67308894,6.648998351,None,0,0
842,D2R1,80,HAoEC,CTRL,1,B002,10,842_10,161.9567757,84.38551402,Stressed,22.63733059,11021,875.474,138.2973367,120.8138732,0.87358062,5,83.97241915,104.4788887,0,84.94506688,123.59587,1712,1068.322721,G0/G1,0.347521094,0.369915636,1.064440812,52,3.846153846,5.769230769,90.38461538,-83.65384615,41.85972396,0,-24.47945495,8.135487674,Low,0,41.85972396
